datetime,open,high,low,close,volume
2025-01-06 00:00:00+00:00,1.0305,1.03051,1.03037,1.03043,3053.0
2025-01-06 00:05:00+00:00,1.03043,1.03045,1.03037,1.03041,2720.0
2025-01-06 00:10:00+00:00,1.03041,1.03046,1.03036,1.03042,1467.0
2025-01-06 00:15:00+00:00,1.03042,1.03045,1.0304,1.03042,3593.0
2025-01-06 00:20:00+00:00,1.03042,1.0305,1.03037,1.03043,1099.0
2025-01-06 00:25:00+00:00,1.03043,1.03045,1.03033,1.03036,1816.0
2025-01-06 00:30:00+00:00,1.03036,1.03042,1.03029,1.03034,1468.0
2025-01-06 00:35:00+00:00,1.03034,1.03039,1.03024,1.03026,3405.0
2025-01-06 00:40:00+00:00,1.03026,1.03031,1.03018,1.03019,2774.0
2025-01-06 00:45:00+00:00,1.03019,1.03021,1.03015,1.03017,836.0
2025-01-06 00:50:00+00:00,1.03017,1.03019,1.03006,1.03009,2794.0
2025-01-06 00:55:00+00:00,1.03009,1.03013,1.03001,1.03004,2450.0
2025-01-06 01:00:00+00:00,1.03004,1.0302,1.02999,1.03013,952.0
2025-01-06 01:05:00+00:00,1.03013,1.03015,1.03004,1.03005,1255.0
2025-01-06 01:10:00+00:00,1.03005,1.03007,1.02998,1.02999,1347.0
2025-01-06 01:15:00+00:00,1.02999,1.03005,1.02987,1.02991,2634.0
2025-01-06 01:20:00+00:00,1.02991,1.02998,1.02991,1.02994,1418.0
2025-01-06 01:25:00+00:00,1.02994,1.03,1.02987,1.02988,1787.0
2025-01-06 01:30:00+00:00,1.02988,1.02994,1.02984,1.02989,3419.0
2025-01-06 01:35:00+00:00,1.02989,1.02999,1.02983,1.02998,3055.0
2025-01-06 01:40:00+00:00,1.02998,1.03001,1.02988,1.02994,3723.0
2025-01-06 01:45:00+00:00,1.02994,1.0301,1.0299,1.03005,2498.0
2025-01-06 01:50:00+00:00,1.03005,1.03005,1.02999,1.03002,3019.0
2025-01-06 01:55:00+00:00,1.03002,1.03014,1.02997,1.03011,1449.0
2025-01-06 02:00:00+00:00,1.03011,1.03015,1.02998,1.03004,4016.0
2025-01-06 02:05:00+00:00,1.03004,1.03004,1.0299,1.02994,3115.0
2025-01-06 02:10:00+00:00,1.02994,1.03,1.02991,1.02995,3254.0
2025-01-06 02:15:00+00:00,1.02995,1.02998,1.02989,1.02994,1171.0
2025-01-06 02:20:00+00:00,1.02994,1.03,1.02993,1.03,2260.0
2025-01-06 02:25:00+00:00,1.03,1.03009,1.02996,1.03005,1370.0
2025-01-06 02:30:00+00:00,1.03005,1.03013,1.02999,1.03009,1691.0
2025-01-06 02:35:00+00:00,1.03009,1.03013,1.03001,1.03007,1193.0
2025-01-06 02:40:00+00:00,1.03007,1.03011,1.02996,1.03001,3926.0
2025-01-06 02:45:00+00:00,1.03001,1.03007,1.02996,1.02999,2125.0
2025-01-06 02:50:00+00:00,1.02999,1.03014,1.02996,1.03008,1102.0
2025-01-06 02:55:00+00:00,1.03008,1.0301,1.03006,1.03009,3236.0
2025-01-06 03:00:00+00:00,1.03009,1.03016,1.03008,1.03013,2853.0
2025-01-06 03:05:00+00:00,1.03013,1.03013,1.03003,1.03008,1072.0
2025-01-06 03:10:00+00:00,1.03008,1.03017,1.03002,1.03015,1167.0
2025-01-06 03:15:00+00:00,1.03015,1.03017,1.03004,1.03009,2028.0
2025-01-06 03:20:00+00:00,1.03009,1.03019,1.03003,1.03017,3752.0
2025-01-06 03:25:00+00:00,1.03017,1.03018,1.03005,1.03011,3581.0
2025-01-06 03:30:00+00:00,1.03011,1.0302,1.03007,1.03015,3120.0
2025-01-06 03:35:00+00:00,1.03015,1.03022,1.02999,1.03005,1372.0
2025-01-06 03:40:00+00:00,1.03005,1.03005,1.02997,1.03001,1016.0
2025-01-06 03:45:00+00:00,1.03001,1.03008,1.02994,1.03004,2089.0
2025-01-06 03:50:00+00:00,1.03004,1.03006,1.02998,1.03006,1487.0
2025-01-06 03:55:00+00:00,1.03006,1.03009,1.03,1.03005,1006.0
2025-01-06 04:00:00+00:00,1.03005,1.03006,1.02997,1.03,3109.0
2025-01-06 04:05:00+00:00,1.03,1.03014,1.02998,1.03011,1987.0
2025-01-06 04:10:00+00:00,1.03011,1.03022,1.03005,1.03019,1586.0
2025-01-06 04:15:00+00:00,1.03019,1.03024,1.03015,1.03017,2632.0
2025-01-06 04:20:00+00:00,1.03017,1.03024,1.03014,1.03018,2064.0
2025-01-06 04:25:00+00:00,1.03018,1.03032,1.03013,1.03025,3448.0
2025-01-06 04:30:00+00:00,1.03025,1.03035,1.03023,1.03033,3773.0
2025-01-06 04:35:00+00:00,1.03033,1.03036,1.03026,1.03033,2910.0
2025-01-06 04:40:00+00:00,1.03033,1.03038,1.03029,1.03038,3075.0
2025-01-06 04:45:00+00:00,1.03038,1.03051,1.03036,1.03048,4102.0
2025-01-06 04:50:00+00:00,1.03048,1.03053,1.03037,1.03041,2202.0
2025-01-06 04:55:00+00:00,1.03041,1.03047,1.03041,1.03041,1212.0
2025-01-06 05:00:00+00:00,1.03041,1.03058,1.03037,1.03051,4050.0
2025-01-06 05:05:00+00:00,1.03051,1.03058,1.03048,1.03049,1977.0
2025-01-06 05:10:00+00:00,1.03049,1.03052,1.03035,1.03039,2296.0
2025-01-06 05:15:00+00:00,1.03039,1.03054,1.03034,1.03051,3263.0
2025-01-06 05:20:00+00:00,1.03051,1.03054,1.03045,1.03046,1174.0
2025-01-06 05:25:00+00:00,1.03046,1.0305,1.0303,1.03035,2305.0
2025-01-06 05:30:00+00:00,1.03035,1.03037,1.03028,1.0303,2976.0
2025-01-06 05:35:00+00:00,1.0303,1.03036,1.03017,1.03022,2562.0
2025-01-06 05:40:00+00:00,1.03022,1.03025,1.03007,1.03011,3943.0
2025-01-06 05:45:00+00:00,1.03011,1.03018,1.03003,1.03007,2486.0
2025-01-06 05:50:00+00:00,1.03007,1.0301,1.02992,1.02998,2379.0
2025-01-06 05:55:00+00:00,1.02998,1.03003,1.02989,1.02992,3695.0
2025-01-06 06:00:00+00:00,1.02992,1.02997,1.02983,1.02986,1349.0
2025-01-06 06:05:00+00:00,1.02986,1.02993,1.02984,1.02987,4299.0
